Cobourg Peninsula SP,SC5313,"(133.5,-11),(132,-12)"
Coen,SD5408,"(144,-13),(142.5,-14)"
Colac,SJ5412,"(144,-38),(142.5,-39)"
Collie,SI5006,"(117,-33),(115.5,-34)"
Collier,SG5004,"(120,-24),(118.5,-25)"
Connemara,SG5403,"(142.5,-24),(141,-25)"
Coober Pedy,SH5306,"(135,-29),(133.5,-30)"
Cook,SH5211,"(130.5,-30),(129,-31)"
Cooktown,SD5513,"(145.5,-15),(144,-15)"
Coompana,SH5215,"(130.5,-31),(129,-32)"
Cooper,SG5210,"(129,-26),(127.5,-27)"
Cootamundra,SI5511,"(148.5,-34),(147,-35)"
Copley,SH5409,"(139.5,-30),(138,-31)"
Cordillo,SG5410,"(141,-26),(139.5,-27)"
Cornish,SF5201,"(127.5,-20),(126,-21)"
Crossland,SE5116,"(126,-19),(124.5,-20)"
Croydon,SE5411,"(142.5,-18),(141,-19)"
Cue,SG5015,"(118.5,-27),(117,-28)"
Culver,SI5104,"(126,-32),(124.5,-33)"
Cundeelee,SH5111,"(124.5,-30),(123,-31)"
Cunnamulla,SH5502,"(147,-28),(145.5,-29)"
Curdimurka,SH5308,"(138,-29),(136.5,-30)"
Curnamona,SH5414,"(141,-31),(139.5,-32)"
Dalby,SG5613,"(151.5,-27),(150,-28)"
Dalhousie,SG5311,"(136.5,-26),(135,-27)"
Daly Waters,SE5301,"(133.5,-15),(132,-17)"
Dampier SP,SF5002,"(117,-20),(115.5,-21)"
Daru,SC5408,"(144,-9),(142.5,-10)"
Darwin,SD5204,"(132,-12),(130.5,-13)"
Delamere,SD5216,"(132,-15),(130.5,-15)"
Deniliquin,SI5513,"(145.5,-35),(144,-36)"
Derby,SE5107,"(124.5,-17),(123,-18)"
Dirranbandi,SH5503,"(148.5,-28),(147,-29)"
Dixon Range,SE5206,"(129,-17),(127.5,-18)"
Dobbyn,SE5414,"(141,-19),(139.5,-20)"
Dongara,SH5005,"(115.5,-29),(114,-30)"
Donors Hill,SE5410,"(141,-18),(139.5,-19)"
Drysdale,SD5209,"(127.5,-14),(126,-15)"
Duaringa,SF5516,"(150,-23),(148.5,-24)"
Dubbo,SI5504,"(150,-32),(148.5,-33)"
Duchess,SF5406,"(141,-21),(139.5,-22)"
Duketon,SG5114,"(123,-27),(121.5,-28)"
Dumbleyung,SI5007,"(118.5,-33),(117,-34)"
Dummer,SF5104,"(126,-20),(124.5,-21)"
Durham Downs,SG5415,"(142.5,-27),(141,-28)"
Ebagoola,SD5412,"(144,-14),(142.5,-15)"
Eddystone,SG5507,"(148.5,-25),(147,-26)"
Edjudina,SH5106,"(123,-29),(121.5,-30)"
Edmund,SF5014,"(117,-23),(115.5,-24)"
Einasleigh,SE5509,"(145.5,-18),(144,-19)"
Elkedra,SF5307,"(136.5,-21),(135,-22)"
Elliston,SI5306,"(135,-33),(133.5,-34)"
Emerald,SF5515,"(148.5,-23),(147,-24)"
