Winton,SF5412,"(144,-22),(142.5,-23)"
Wollongong SP,SI5609,"(151.5,-34),(150,-35)"
Woodroffe,SG5212,"(132,-26),(130.5,-27)"
Wooramel,SG5005,"(115.5,-25),(114,-26)"
Wyandra,SG5514,"(147,-27),(145.5,-28)"
Wyloo,SF5010,"(117,-22),(115.5,-23)"
Wyola,SH5207,"(130.5,-29),(129,-30)"
Yalgoo,SH5002,"(117,-28),(115.5,-29)"
Yampi,SE5103,"(124.5,-15),(123,-17)"
Yanrey SP,SF5009,"(115.5,-22),(114,-23)"
Yantabulla,SH5505,"(145.5,-29),(144,-30)"
Yardea,SI5303,"(136.5,-32),(135,-33)"
Yaringa,SG5009,"(115.5,-26),(114,-27)"
Yarraloola,SF5006,"(117,-21),(115.5,-22)"
Yarrie,SF5101,"(121.5,-20),(120,-21)"
Yorke Peninsula SP,SI5312,"(138,-34),(136.5,-35)"
Youanmi,SH5004,"(120,-28),(118.5,-29)"
Yowalga,SG5112,"(126,-26),(124.5,-27)"
Zanthus,SH5115,"(124.5,-31),(123,-32)"
